"Titre de tracé : 21330399"
"#","Date","Heure, GMT-03:00","Temp., °C (LGR S/N: 21330399, SEN S/N: 21330399)","Conductance spécifique, μS/cm (LGR S/N: 21330399)","Salinité, ppt (LGR S/N: 21330399)"
342,02/02/23,17:11:10,30.28,19810.7,11.7938
343,02/02/23,17:16:10,30.04,19797.3,11.7851
344,02/02/23,17:21:10,29.82,19801.3,11.7876
345,02/02/23,17:26:10,29.60,19817.1,11.7979
346,02/02/23,17:31:10,29.42,19806.5,11.7910
347,02/02/23,17:36:10,29.26,19787.2,11.7785
348,02/02/23,17:41:10,29.11,19778.6,11.7729
349,02/02/23,17:46:10,28.78,19796.0,11.7842
350,02/02/23,17:51:10,28.47,18958.4,11.2424
351,02/02/23,17:56:10,28.01,14028.4,8.1084
352,02/02/23,18:01:10,27.92,16028.7,9.3681
353,02/02/23,18:06:10,27.59,9029.7,5.0425
354,02/02/23,18:11:10,27.52,9271.4,5.1877
355,02/02/23,18:16:10,27.39,9039.3,5.0483
356,02/02/23,18:21:10,27.24,9435.5,5.2865
357,02/02/23,18:26:10,27.08,9346.7,5.2330
358,02/02/23,18:31:10,26.91,6981.0,3.8268
359,02/02/23,18:36:10,26.84,8376.2,4.6518
360,02/02/23,18:41:10,26.68,8055.1,4.4608
361,02/02/23,18:46:10,26.52,7700.5,4.2506
362,02/02/23,18:51:10,26.47,7584.6,4.1821
363,02/02/23,18:56:10,26.42,8547.8,4.7541
364,02/02/23,19:01:10,26.47,8249.1,4.5761
365,02/02/23,19:06:10,26.53,8333.9,4.6266
366,02/02/23,19:11:10,26.52,8375.5,4.6514
367,02/02/23,19:16:10,26.53,8323.4,4.6204
368,02/02/23,19:21:10,26.49,8382.0,4.6552
369,02/02/23,19:26:10,26.49,8485.8,4.7171
370,02/02/23,19:31:10,26.47,8490.7,4.7200
371,02/02/23,19:36:10,26.48,8666.0,4.8247
372,02/02/23,19:41:10,26.45,8722.6,4.8586
373,02/02/23,19:46:10,26.47,8897.8,4.9634
374,02/02/23,19:51:10,26.43,9081.4,5.0735
375,02/02/23,19:56:10,26.40,9166.3,5.1245
376,02/02/23,20:01:10,26.40,9239.0,5.1682
377,02/02/23,20:06:10,26.42,9712.1,5.4533
378,02/02/23,20:11:10,26.39,9651.3,5.4166
379,02/02/23,20:16:10,26.38,9817.7,5.5171
380,02/02/23,20:21:10,26.35,10149.2,5.7178
381,02/02/23,20:26:10,26.37,10128.5,5.7052
382,02/02/23,20:31:10,26.35,10191.8,5.7436
383,02/02/23,20:36:10,26.38,10349.4,5.8393
384,02/02/23,20:41:10,26.39,10625.9,6.0075
385,02/02/23,20:46:10,26.38,10708.8,6.0579
386,02/02/23,20:51:10,26.39,10748.8,6.0823
387,02/02/23,20:56:10,26.42,10742.4,6.0784
388,02/02/23,21:01:10,26.42,11097.4,6.2951
389,02/02/23,21:06:10,26.39,11170.0,6.3396
390,02/02/23,21:11:10,26.33,11372.4,6.4635
391,02/02/23,21:16:10,26.28,11607.5,6.6077
392,02/02/23,21:21:10,26.29,11564.6,6.5814
393,02/02/23,21:26:10,26.28,11771.0,6.7082
394,02/02/23,21:31:10,26.27,11729.6,6.6827
395,02/02/23,21:36:10,26.20,11752.3,6.6967
396,02/02/23,21:41:10,26.17,11789.4,6.7195
397,02/02/23,21:46:10,26.10,11819.5,6.7380
398,02/02/23,21:51:10,26.01,11760.0,6.7014
399,02/02/23,21:56:10,25.88,11757.6,6.6999
400,02/02/23,22:01:10,25.81,11726.4,6.6808
401,02/02/23,22:06:10,25.76,11822.5,6.7398
402,02/02/23,22:11:10,25.72,11830.0,6.7445
403,02/02/23,22:16:10,25.71,11918.1,6.7987
404,02/02/23,22:21:10,25.71,11943.9,6.8146
