SP2T 10m SI - CAY2 - 33110 sn:33110 Sonde standard_33110_20220602_163303_H23cm.txt
Cadence d'enregistrement	0,5	s 
  VOIE:1 Profondeur 10m Unité=m
0,040	20/05/2022	09:51:32:940
0,043	20/05/2022	09:51:33:440
0,043	20/05/2022	09:51:33:940
0,043	20/05/2022	09:51:34:440
0,043	20/05/2022	09:51:34:940
0,043	20/05/2022	09:51:35:440
0,043	20/05/2022	09:51:35:940
0,043	20/05/2022	09:51:36:440
0,043	20/05/2022	09:51:36:940
0,043	20/05/2022	09:51:37:440
0,043	20/05/2022	09:51:37:940
0,043	20/05/2022	09:51:38:440
0,043	20/05/2022	09:51:38:940
0,043	20/05/2022	09:51:39:440
0,043	20/05/2022	09:51:39:940
0,043	20/05/2022	09:51:40:440
0,043	20/05/2022	09:51:40:940
0,043	20/05/2022	09:51:41:440
0,040	20/05/2022	09:51:41:940
0,040	20/05/2022	09:51:42:440
0,040	20/05/2022	09:51:42:940
0,040	20/05/2022	09:51:43:440
0,040	20/05/2022	09:51:43:940
0,040	20/05/2022	09:51:44:440
0,040	20/05/2022	09:51:44:940
0,040	20/05/2022	09:51:45:440
0,040	20/05/2022	09:51:45:940
0,040	20/05/2022	09:51:46:440
0,040	20/05/2022	09:51:46:940
0,040	20/05/2022	09:51:47:440
0,034	20/05/2022	09:51:47:940
0,034	20/05/2022	09:51:48:440
0,034	20/05/2022	09:51:48:940
0,034	20/05/2022	09:51:49:440
0,034	20/05/2022	09:51:49:940
0,034	20/05/2022	09:51:50:440
0,034	20/05/2022	09:51:50:940
0,028	20/05/2022	09:51:51:440
0,028	20/05/2022	09:51:51:940
0,028	20/05/2022	09:51:52:440
0,028	20/05/2022	09:51:52:940
0,028	20/05/2022	09:51:53:440
0,028	20/05/2022	09:51:53:940
0,028	20/05/2022	09:51:54:440
0,028	20/05/2022	09:51:54:940
0,028	20/05/2022	09:51:55:440
0,028	20/05/2022	09:51:55:940
0,028	20/05/2022	09:51:56:440
0,025	20/05/2022	09:51:56:940
0,025	20/05/2022	09:51:57:440
0,025	20/05/2022	09:51:57:940
0,025	20/05/2022	09:51:58:440
0,025	20/05/2022	09:51:58:940
0,025	20/05/2022	09:51:59:440
0,025	20/05/2022	09:51:59:940
0,025	20/05/2022	09:52:00:440
0,025	20/05/2022	09:52:00:940
0,025	20/05/2022	09:52:01:440
0,025	20/05/2022	09:52:01:940
0,025	20/05/2022	09:52:02:440
0,025	20/05/2022	09:52:02:940
0,025	20/05/2022	09:52:03:440
0,025	20/05/2022	09:52:03:940
0,025	20/05/2022	09:52:04:440
0,025	20/05/2022	09:52:04:940
0,025	20/05/2022	09:52:05:440
0,025	20/05/2022	09:52:05:940
0,025	20/05/2022	09:52:06:440
0,025	20/05/2022	09:52:06:940
