

OBS-5+ S/N:S5266     Firmware Version: 1.50
Sensor                            Data Columns
 1  Pressure                       Mean & s.d.
 2  NEAR OBS                       Mean & s.d.

09:05:00 02/02/2023     0.00     0.00     5.95     0.03 
09:10:00 02/02/2023     0.00     0.00     5.97     0.03 
09:15:00 02/02/2023     0.00     0.00     5.96     0.03 
09:20:00 02/02/2023     0.00     0.00     5.95     0.03 
09:25:00 02/02/2023     0.00     0.00     6.00     0.04 
09:30:00 02/02/2023     0.00     0.00     6.03     0.04 
09:35:00 02/02/2023     0.00     0.00     6.00     0.03 
09:40:00 02/02/2023     0.00     0.00     3.46     2.98 
09:45:00 02/02/2023     0.00     0.00     0.00     0.03 
09:50:00 02/02/2023     0.00     0.00     0.00     0.03 
09:55:00 02/02/2023     0.00     0.00     0.00     0.03 
10:00:00 02/02/2023     0.00     0.00     0.00     0.03 
10:05:00 02/02/2023     0.00     0.00     0.00     0.03 
10:10:00 02/02/2023     0.00     0.00     0.00     0.03 
10:15:00 02/02/2023     0.00     0.00     0.00     0.03 
10:20:00 02/02/2023     0.00     0.00     0.00     0.03 
10:25:00 02/02/2023     0.00     0.00     0.00     0.03 
10:30:00 02/02/2023     0.00     0.00     0.00     0.03 
10:35:00 02/02/2023     0.00     0.00     0.00     0.03 
10:40:00 02/02/2023     0.00     0.00     0.00     0.03 
10:45:00 02/02/2023     0.00     0.00     0.00     0.03 
10:50:00 02/02/2023     0.00     0.00     0.00     0.03 
10:55:00 02/02/2023     0.00     0.00     0.01     0.02 
11:00:00 02/02/2023     0.00     0.00     0.01     0.03 
11:05:00 02/02/2023     0.00     0.00     0.01     0.02 
11:10:00 02/02/2023     0.00     0.00     0.01     0.02 
11:15:00 02/02/2023     0.00     0.00     0.01     0.02 
11:20:00 02/02/2023     0.00     0.00     0.01     0.02 
11:25:00 02/02/2023     0.00     0.00     0.02     0.02 
11:30:00 02/02/2023     0.00     0.00     0.01     0.02 
11:35:00 02/02/2023     0.00     0.00     0.02     0.02 
11:40:00 02/02/2023     0.00     0.00     0.01     0.02 
11:45:00 02/02/2023     0.00     0.00     0.01     0.02 
11:50:00 02/02/2023     0.00     0.00     0.01     0.02 
11:55:00 02/02/2023     0.00     0.00     0.01     0.02 
12:00:00 02/02/2023     0.00     0.00     0.01     0.02 
12:05:00 02/02/2023     0.00     0.00     0.01     0.02 
12:10:00 02/02/2023     0.00     0.00     0.01     0.02 
12:15:00 02/02/2023     0.00     0.00     0.02     0.02 
12:20:00 02/02/2023     0.00     0.00     0.01     0.02 
12:25:00 02/02/2023     0.00     0.00     0.01     0.02 
12:30:00 02/02/2023     0.00     0.00     0.02     0.02 
12:35:00 02/02/2023     0.00     0.00     0.02     0.02 
12:40:00 02/02/2023     0.00     0.00     0.01     0.02 
12:45:00 02/02/2023     0.00     0.00     0.01     0.02 
12:50:00 02/02/2023     0.00     0.00     0.01     0.02 
12:55:00 02/02/2023     0.00     0.00     0.01     0.02 
13:00:00 02/02/2023     0.00     0.00     0.01     0.02 
13:05:00 02/02/2023     0.00     0.00     0.02     0.02 
13:10:00 02/02/2023     0.00     0.00     0.01     0.02 
13:15:00 02/02/2023     0.00     0.00     0.01     0.02 
13:20:00 02/02/2023     0.00     0.00     0.01     0.02 
13:25:00 02/02/2023     0.00     0.00     0.01     0.02 
13:30:00 02/02/2023     0.00     0.00     0.02     0.02 
13:35:00 02/02/2023     0.00     0.00     0.01     0.02 
13:40:00 02/02/2023     0.00     0.00     6.69     0.20 
13:45:00 02/02/2023     0.00     0.00     6.28     0.05 
13:50:00 02/02/2023     0.00     0.00     6.46     0.10 
13:55:00 02/02/2023     0.00     0.00     6.35     0.06 
14:00:00 02/02/2023     0.00     0.00     6.26     0.06 
14:05:00 02/02/2023     0.00     0.00     6.28     0.05 
14:10:00 02/02/2023     0.00     0.00     6.28     0.06 
14:15:00 02/02/2023     0.00     0.00     6.23     0.07 
14:20:00 02/02/2023     0.00     0.00     6.23     0.05 
14:25:00 02/02/2023     0.00     0.00     6.21     0.04 
14:30:00 02/02/2023     0.00     0.00    14.10     5.01 
14:35:00 02/02/2023     0.00     0.01   168.78    82.54 
14:40:00 02/02/2023     0.00     0.01   293.11    58.21 
14:45:00 02/02/2023     0.00     0.01   267.52    21.44 
14:50:00 02/02/2023     0.00     0.01   244.54    17.22 
14:55:00 02/02/2023     0.00     0.01   180.39    15.71 
15:00:00 02/02/2023     0.00     0.00   156.64    20.29 
15:05:00 02/02/2023     0.00     0.00    15.19     5.28 
15:10:00 02/02/2023     0.00     0.00     6.13     0.25 
15:15:00 02/02/2023     0.00     0.00    14.62     6.97 
15:20:00 02/02/2023     0.00     0.00    36.27    17.55 
15:25:00 02/02/2023     0.00     0.01   226.69    34.01 
15:30:00 02/02/2023     0.00     0.00   147.97     8.06 
15:35:00 02/02/2023     0.00     0.01   134.15    20.26 
15:40:00 02/02/2023     0.00     0.01   126.92    29.10 
15:45:00 02/02/2023     0.00     0.01   187.48    17.77 
15:50:00 02/02/2023     0.00     0.00    77.17    13.18 
15:55:00 02/02/2023     0.00     0.00   152.07    14.12 
16:00:00 02/02/2023     0.00     0.00     6.32     0.78 
16:05:00 02/02/2023     0.00     0.00     4.68     0.03 
16:10:00 02/02/2023     0.00     0.00     5.54     1.67 
16:15:00 02/02/2023     0.00     0.00    66.52    24.12 
16:20:00 02/02/2023     0.00     0.00    12.79     2.19 
16:25:00 02/02/2023     0.00     0.00     5.00     0.02 
16:30:00 02/02/2023     0.00     0.00     5.34     0.09 
16:35:00 02/02/2023     0.00     0.00     5.68     0.03 
16:40:00 02/02/2023     0.00     0.00     5.64     0.04 
16:45:00 02/02/2023     0.00     0.00     5.62     0.05 
16:50:00 02/02/2023     0.00     0.00     5.67     0.05 
16:55:00 02/02/2023     0.00     0.00     5.65     0.06 
17:00:00 02/02/2023     0.00     0.00     5.75     0.05 
17:05:00 02/02/2023     0.00     0.00     5.77     0.05 
17:10:00 02/02/2023     0.00     0.00     5.80     0.06 
17:15:00 02/02/2023     0.00     0.00     5.77     0.06 
17:20:00 02/02/2023     0.00     0.00     5.85     0.18 
17:25:00 02/02/2023     0.00     0.00     5.87     0.05 
17:30:00 02/02/2023     0.00     0.00     5.93     0.05 
17:35:00 02/02/2023     0.00     0.00     5.93     0.05 
17:40:00 02/02/2023     0.00     0.00    23.09     0.82 
17:45:00 02/02/2023     0.00     0.00    21.47     0.08 
17:50:00 02/02/2023     0.00     0.00    25.27     0.22 
17:55:00 02/02/2023     0.00     0.00    21.60     0.37 
18:00:00 02/02/2023     0.00     0.00    21.95     0.08 
18:05:00 02/02/2023     0.00     0.00    23.42     0.08 
18:10:00 02/02/2023     0.00     0.00    23.81     0.56 
18:15:00 02/02/2023     0.00     0.00    23.73     0.25 
18:20:00 02/02/2023     0.00     0.00    20.81     0.22 
18:25:00 02/02/2023     0.00     0.00    20.20     0.08 
18:30:00 02/02/2023     0.00     0.00    19.93     0.15 
18:35:00 02/02/2023     0.00     0.00    20.09     0.18 
18:40:00 02/02/2023     0.00     0.00    21.26     0.31 
18:45:00 02/02/2023     0.00     0.00    21.57     0.09 
18:50:00 02/02/2023     0.00     0.00    21.31     0.10 
18:55:00 02/02/2023     0.00     0.00    21.24     0.05 
19:00:00 02/02/2023     0.00     0.00    21.15     0.06 
19:05:00 02/02/2023     0.00     0.00    20.95     0.05 
19:10:00 02/02/2023     0.00     0.00    20.80     0.03 
19:15:00 02/02/2023     0.00     0.00    20.73     0.04 
19:20:00 02/02/2023     0.00     0.00    20.64     0.03 
19:25:00 02/02/2023     0.00     0.00    20.68     0.04 
19:30:00 02/02/2023     0.00     0.00    20.56     0.06 
19:35:00 02/02/2023     0.00     0.00    20.52     0.04 
19:40:00 02/02/2023     0.00     0.00    20.60     0.04 
19:45:00 02/02/2023     0.00     0.00    20.65     0.03 
19:50:00 02/02/2023     0.00     0.00    20.62     0.03 
19:55:00 02/02/2023     0.00     0.00    20.73     0.03 
20:00:00 02/02/2023     0.00     0.00    20.66     0.03 
20:05:00 02/02/2023     0.00     0.00    20.61     0.04 
20:10:00 02/02/2023     0.00     0.00    20.73     0.03 
20:15:00 02/02/2023     0.00     0.00    20.81     0.03 
20:20:00 02/02/2023     0.00     0.00    20.78     0.02 
20:25:00 02/02/2023     0.00     0.00    20.72     0.03 
20:30:00 02/02/2023     0.00     0.00    20.74     0.02 
20:35:00 02/02/2023     0.00     0.00    20.82     0.03 
20:40:00 02/02/2023     0.00     0.00    20.74     0.03 
20:45:00 02/02/2023     0.00     0.00    20.77     0.03 
20:50:00 02/02/2023     0.00     0.00    20.78     0.03 
20:55:00 02/02/2023     0.00     0.00    20.80     0.02 
21:00:00 02/02/2023     0.00     0.00    20.76     0.03 
21:05:00 02/02/2023     0.00     0.00    20.66     0.03 
21:10:00 02/02/2023     0.00     0.00    20.64     0.02 
21:15:00 02/02/2023     0.00     0.00    20.54     0.03 
21:20:00 02/02/2023     0.00     0.00    20.57     0.03 
21:25:00 02/02/2023     0.00     0.00    20.40     0.03 
21:30:00 02/02/2023     0.00     0.00    20.28     0.04 
21:35:00 02/02/2023     0.00     0.00    20.07     0.03 
